name,handedness,height,weight,avg,HR,Count,heightGroup
Tom Brown,R,73,170,0,0,1,72-73
Denny Lemaster,R,73,182,0.13,4,1,72-73
Joe Nolan,L,71,175,0.263,27,1,70-71
Denny Doyle,L,69,175,0.25,16,1,68-69
Jose Cardenal,R,70,150,0.275,138,1,70-71
Mike Ryan,R,74,205,0.193,28,1,74-75
Fritz Peterson,B,72,185,0.159,2,1,72-73
Dick Bertell,R,72,200,0.25,10,1,72-73
Rod Kanehl,R,73,180,0.241,6,1,72-73
Ozzie Osborn,R,74,195,0,0,1,74-75
John LaRose,L,73,185,0,0,1,72-73
Jeff Byrd,R,75,195,0,0,1,74-75
Juan Bonilla,R,69,170,0.256,7,1,68-69
Frank Tepedino,L,71,185,0.241,6,1,70-71
Jerry Kutzler,L,73,175,0,0,1,72-73
Rick Wise,R,73,180,0.195,15,1,72-73
Darrell Evans,L,74,200,0.248,414,1,74-75
Buck Martinez,R,70,190,0.225,58,1,70-71
John Wockenfuss,R,72,190,0.262,86,1,72-73
Tommy McCraw,L,72,183,0.246,75,1,72-73
Jeff Barkley,B,75,185,0,0,1,74-75
Eric Wilkins,R,73,190,0,0,1,72-73
Britt Burns,L,77,215,0,0,1,76-77
Lee Lacy,R,73,175,0.286,91,1,72-73
Pete Rose,B,71,192,0.303,160,1,70-71
Danny Walton,R,72,195,0.223,28,1,72-73
Bobby Cox,R,71,180,0.225,9,1,70-71
Brad Wellman,R,72,170,0.231,6,1,72-73
Jeff Newman,R,74,215,0.224,63,1,74-75
Pedro Gonzalez,R,72,176,0.244,8,1,72-73
Nardi Contreras,B,74,193,0,0,1,74-75
Tommie Reynolds,R,74,190,0.226,12,1,74-75
Gene Clines,R,69,170,0.277,5,1,68-69
Jim Hickman,R,75,192,0.252,159,1,74-75
Jack Billingham,R,76,195,0.111,0,1,76-77
Jerry Buchek,R,71,185,0.22,22,1,70-71
Ivan DeJesus,R,71,175,0.254,21,1,70-71
Gary Nolan,R,74,197,0.138,1,1,74-75
